date,temperature,condition,humidity,wind_speed
01-05-2024,18.0,Cloudy,62,14.0
01-18-2024,20.0,Sunny,58,12.0
02-02-2024,22.0,Sunny,55,16.0
02-15-2024,24.0,Cloudy,52,18.0
03-03-2024,25.0,Sunny,50,20.0
03-20-2024,27.0,Sunny,48,22.0
04-07-2024,30.0,Cloudy,45,24.0
04-21-2024,32.0,Sunny,42,25.0
05-10-2024,35.0,Sunny,40,27.0
05-25-2024,37.0,Sunny,38,29.0
06-08-2024,39.0,Sunny,35,31.0
06-22-2024,41.0,Sunny,34,30.0
07-05-2024,43.0,Sunny,32,28.0
07-19-2024,44.0,Cloudy,31,26.0
08-11-2024,45.0,Sunny,30,24.0
09-02-2024,40.0,Cloudy,36,22.0
10-14-2024,34.0,Rainy,48,19.0
11-08-2024,28.0,Cloudy,55,15.0
12-03-2024,22.0,Rainy,64,13.0
12-20-2024,19.0,Cloudy,68,11.0
01-07-2025,19.0,Cloudy,63,13.0
01-21-2025,21.0,Sunny,59,15.0
02-09-2025,23.0,Sunny,54,17.0
03-11-2025,28.0,Sunny,49,21.0
04-15-2025,33.0,Cloudy,44,24.0
05-18-2025,38.0,Sunny,39,28.0
06-12-2025,42.0,Sunny,33,31.0
07-14-2025,46.0,Sunny,29,27.0
08-16-2025,44.0,Cloudy,32,25.0
09-18-2025,39.0,Rainy,41,20.0
10-20-2025,35.0,Cloudy,46,18.0
11-15-2025,29.0,Sunny,52,15.0
12-10-2025,23.0,Rainy,61,12.0
01-06-2026,20.0,Cloudy,60,14.0
01-20-2026,22.0,Sunny,56,16.0
02-12-2026,25.0,Sunny,52,18.0
03-09-2026,29.0,Sunny,47,22.0
04-12-2026,34.0,Cloudy,43,24.0
05-16-2026,39.0,Sunny,37,28.0
06-10-2026,43.0,Sunny,33,30.0
07-12-2026,45.0,Sunny,31,27.0
08-15-2026,44.0,Cloudy,34,25.0
09-10-2026,38.0,Rainy,44,21.0
09-20-2026,15.83,scattered clouds,57,1.62
09-21-2026,32.99,clear sky,70,45.576
09-21-2026,32.99,clear sky,70,45.576
11-20-2024,44.3,Sunny,70,14.0
09-21-2026,33.99,clear sky,66,41.4
9-11-2026,42.0,Snow,11,70.0
9-11-2022,50.0,Sunny,70,70.0
09-21-2026,33.99,clear sky,75,33.192
09-21-2026,33.99,clear sky,75,33.192
12-14-2025,20.0,Cloudy,25,17.0
01-17-2024,-36.0,Snow,1,53.0
09-21-2026,35.99,clear sky,59,37.296
